tram_id,service_type,from_stop,to_stop,distance_m,arithmetic_mean_time,geometric_mean_time,median_time,stdev
1,1,103,169,538.2081255635964,116.61842105263158,116.4551980920766,113.0,6.196702575323229
1,1,103,293,381.0115473663624,81.78205128205128,81.67695609569644,79.0,4.164311688801865
1,1,105,106,597.7116059457873,206.26582278481013,206.17675898213395,204.0,5.950024479069433
1,1,105,169,399.620452418336,67.3076923076923,67.20773690658196,65.0,3.6797363411608095
1,1,105,298,416.65981028976574,110.0,110.00000000000004,110.0,0.0
1,1,106,105,597.7116059457873,178.8860759493671,178.86097610045286,176.0,3.016991801881351
1,1,106,296,577.4269288641908,168.21518987341773,168.1968938850546,166.0,2.499594254643112
1,1,163,299,449.8636626955982,72.24050632911393,72.14621805495918,70.0,3.7045197269026264
1,1,163,304,306.28276324547994,76.79746835443038,76.69147845023846,75.0,4.045826424516881
1,1,169,103,538.2081255635964,144.6153846153846,144.42939805081892,140.0,7.359472682321619
1,1,169,105,399.620452418336,112.8157894736842,112.66195008108087,109.0,5.925561635976322
1,1,188,227,381.13973213044846,88.0,88.00000000000003,88.0,0.0
1,1,188,232,406.1522287017632,85.0,85.00000000000001,85.0,0.0
1,1,190,294,398.4286592769088,132.66666666666666,132.65840176801248,132.0,1.632993161855452
1,1,190,295,466.392294956454,138.5,138.36028453685157,135.5,6.862943974709396
1,1,193,291,430.2659071850623,104.45569620253164,104.3161803871793,101.0,5.422643570357473
1,1,217,291,375.4215251630085,89.89873417721519,89.77713567170612,87.0,4.708407474003587
1,1,217,292,341.87731429525286,81.70886075949367,81.6025104126736,79.0,4.188359628517997
1,1,220,292,342.52158739822966,67.56962025316456,67.49118614131748,66.0,3.268668451171993
1,1,220,304,265.6230406009344,32.21518987341772,32.16969120939129,31.0,1.7221847043199443
1,1,224,294,380.2842659919699,121.0,121.00000000000003,121.0,0.0
1,1,224,298,380.1963841142618,71.0,70.98604499918413,70.0,1.7320508075688772
1,1,227,317,203.2422693920273,37.0,36.99999999999999,37.0,0.0
1,1,232,188,406.1522287017632,90.0,90.0,90.0,0.0
1,1,232,294,249.14299364234887,90.0,90.0,90.0,0.0
1,1,250,275,338.29432223595404,112.16666666666667,112.05933167774461,109.5,5.419102016632153
1,1,250,295,493.689555150661,150.83333333333334,150.82198959923076,150.0,2.041241452319315
1,1,275,245,439.5920990670725,114.33333333333333,114.22879827797506,112.0,5.391351098441528
1,1,275,250,338.29432223595404,104.5,104.49409420551953,104.0,1.224744871391589
1,1,291,193,430.2659071850623,114.35443037974683,114.18597399443264,111.0,6.238914219069804
1,1,291,217,375.4215251630085,92.9873417721519,92.85708686150011,90.0,4.939359635870169
1,1,292,217,341.87731429525286,75.0126582278481,74.92023664676019,73.0,3.743348531441883
1,1,292,220,342.52158739822966,109.26582278481013,109.11826612400395,106.0,5.694596765984972
1,1,293,317,159.82497038934187,61.01282051282051,60.94273492509159,59.0,2.938740739874332
1,1,294,190,398.4286592769088,106.33333333333333,106.22103886189038,104.0,5.391351098441528
1,1,294,224,380.2842659919699,118.33333333333333,118.31842083233182,117.0,2.309401076758503
1,1,294,232,249.14299364234887,80.0,79.99999999999997,80.0,0.0
1,1,295,190,466.392294956454,115.66666666666667,115.65720527462982,115.0,1.632993161855452
1,1,295,250,493.689555150661,183.33333333333334,183.13854902541422,179.0,9.330952077181978
1,1,296,106,577.4269288641908,141.48101265822785,141.288410798546,137.0,7.409039453805253
1,1,296,299,363.7559620823139,117.35443037974683,117.19029595459979,114.0,6.238914219069804
1,1,298,105,416.65981028976574,135.0,135.00000000000003,135.0,0.0
1,1,298,224,380.1963841142618,85.0,85.00000000000001,85.0,0.0
1,1,299,163,449.8636626955982,144.0253164556962,143.83274655399697,140.0,7.486697062883766
1,1,299,296,363.7559620823139,127.0126582278481,126.82469934875088,123.0,6.929116698963014
1,1,304,163,306.28276324547994,104.26582278481013,104.11112781340354,101.0,5.694596765984972
1,1,304,220,265.6230406009344,59.56962025316456,59.48058068698414,58.0,3.268668451171993
1,1,317,103,436.8278410856897,129.8815789473684,129.6965991500858,126.0,6.9569478082717815
1,1,317,188,584.0970697858365,124.0,124.00000000000003,124.0,0.0
1,6,103,169,538.2081255635964,116.61842105263158,116.4551980920766,113.0,6.196702575323229
1,6,103,293,381.0115473663624,81.78205128205128,81.67695609569644,79.0,4.164311688801865
1,6,105,106,597.7116059457873,206.26582278481013,206.17675898213395,204.0,5.950024479069433
1,6,105,169,399.620452418336,67.3076923076923,67.20773690658196,65.0,3.6797363411608095
1,6,105,298,416.65981028976574,110.0,110.00000000000004,110.0,0.0
1,6,106,105,597.7116059457873,178.8860759493671,178.86097610045286,176.0,3.016991801881351
1,6,106,296,577.4269288641908,168.21518987341773,168.1968938850546,166.0,2.499594254643112
1,6,163,299,449.8636626955982,72.24050632911393,72.14621805495918,70.0,3.7045197269026264
1,6,163,304,306.28276324547994,76.79746835443038,76.69147845023846,75.0,4.045826424516881
1,6,169,103,538.2081255635964,144.6153846153846,144.42939805081892,140.0,7.359472682321619
1,6,169,105,399.620452418336,112.8157894736842,112.66195008108087,109.0,5.925561635976322
1,6,188,227,381.13973213044846,88.0,88.00000000000003,88.0,0.0
1,6,188,232,406.1522287017632,85.0,85.00000000000001,85.0,0.0
1,6,190,294,398.4286592769088,132.66666666666666,132.65840176801248,132.0,1.632993161855452
1,6,190,295,466.392294956454,138.5,138.36028453685157,135.5,6.862943974709396
1,6,193,291,430.2659071850623,104.45569620253164,104.3161803871793,101.0,5.422643570357473
